project	condition	type
T2ctl1-a	T2ctl1	paired-read
T2ctl1-b	T2ctl1	paired-read
T2ctl1-c	T2ctl1	paired-read
T2ctl2-a	T2ctl2	paired-read
T2ctl2-b	T2ctl2	paired-read
T2ctl2-c	T2ctl2	paired-read
T2ctl3-a	T2ctl3	paired-read
T2ctl3-b	T2ctl3	paired-read
T2ctl3-c	T2ctl3	paired-read
T2dom1-a	T2dom1	paired-read
T2dom1-b	T2dom1	paired-read
T2dom1-c	T2dom1	paired-read
T2dom2-a	T2dom2	paired-read
T2dom2-b	T2dom2	paired-read
T2dom2-c	T2dom2	paired-read
T2dom3-a	T2dom3	paired-read
T2dom3-b	T2dom3	paired-read
T2dom3-c	T2dom3	paired-read
T4ctl1-a	T4ctl1	paired-read
T4ctl1-b	T4ctl1	paired-read
T4ctl1-c	T4ctl1	paired-read
T4ctl2-a	T4ctl2	paired-read
T4ctl2-b	T4ctl2	paired-read
T4ctl2-c	T4ctl2	paired-read
T4ctl3-a	T4ctl3	paired-read
T4ctl3-b	T4ctl3	paired-read
T4ctl3-c	T4ctl3	paired-read
T4dom1-a	T4dom1	paired-read
T4dom1-b	T4dom1	paired-read
T4dom1-c	T4dom1	paired-read
T4dom2-a	T4dom2	paired-read
T4dom2-b	T4dom2	paired-read
T4dom2-c	T4dom2	paired-read
T4dom3-a	T4dom3	paired-read
T4dom3-b	T4dom3	paired-read
T4dom3-c	T4dom3	paired-read
