ko_number	name	description	metabolism
K01455	E3.5.1.49	formamidase [EC:3.5.1.49]	Nitrogen metabolism
K02575	NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter	Nitrogen metabolism
K15576	nrtA, nasF, cynA	nitrate/nitrite transport system substrate-binding protein	Nitrogen metabolism
K15577	nrtB, nasE, cynB	nitrate/nitrite transport system permease protein	Nitrogen metabolism
K15578	nrtC, nasD	nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]	Nitrogen metabolism
K15579	nrtD, cynD	nitrate/nitrite transport system ATP-binding protein	Nitrogen metabolism
K00367	narB	ferredoxin-nitrate reductase [EC:1.7.7.2]	Nitrogen metabolism
K10534	NR	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	Nitrogen metabolism
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen metabolism
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen metabolism
K00374	narI, narV	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen metabolism
K02567	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]	Nitrogen metabolism
K02568	napB	nitrate reductase (cytochrome), electron transfer subunit	Nitrogen metabolism
K00372	nasA	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	Nitrogen metabolism
K00360	nasB	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	Nitrogen metabolism
K17877	NIT-6	nitrite reductase (NAD(P)H) [EC:1.7.1.4]	Nitrogen metabolism
K00362	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Nitrogen metabolism
K00363	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Nitrogen metabolism
K00366	nirA	ferredoxin-nitrite reductase [EC:1.7.7.1]	Nitrogen metabolism
K03385	nrfA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	Nitrogen metabolism
K15876	nrfH	cytochrome c nitrite reductase small subunit	Nitrogen metabolism
K00368	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrogen metabolism
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	Nitrogen metabolism
K04561	norB	nitric oxide reductase subunit B [EC:1.7.2.5]	Nitrogen metabolism
K02305	norC	nitric oxide reductase subunit C	Nitrogen metabolism
K15877	CYP55	fungal nitric oxide reductase [EC:1.7.1.14]	Nitrogen metabolism
K00376	nosZ	nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen metabolism
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	Nitrogen metabolism
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	Nitrogen metabolism
K02588	nifH	nitrogenase iron protein NifH	Nitrogen metabolism
K00531	anfG	nitrogenase delta subunit [EC:1.18.6.1]	Nitrogen metabolism
K22896	vnfD	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	Nitrogen metabolism
K22897	vnfK	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	Nitrogen metabolism
K22898	vnfG	vanadium nitrogenase delta subunit [EC:1.18.6.2]	Nitrogen metabolism
K22899	vnfH	vanadium nitrogenase iron protein	Nitrogen metabolism
K20932	K20932	hydrazine synthase subunit [EC:1.7.2.7]	Nitrogen metabolism
K20933	K20933	hydrazine synthase subunit [EC:1.7.2.7]	Nitrogen metabolism
K20934	K20934	hydrazine synthase subunit [EC:1.7.2.7]	Nitrogen metabolism
K20935	hdh	hydrazine dehydrogenase [EC:1.7.2.8]	Nitrogen metabolism
K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	Nitrogen metabolism
K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B	Nitrogen metabolism
K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C	Nitrogen metabolism
K05601	hcp	hydroxylamine reductase [EC:1.7.99.1]	Nitrogen metabolism
K10535	hao	hydroxylamine dehydrogenase [EC:1.7.2.6]	Nitrogen metabolism
K00459	ncd2, npd	nitronate monooxygenase [EC:1.13.12.16]	Nitrogen metabolism
K19823	NAO	nitroalkane oxidase [EC:1.7.3.1]	Nitrogen metabolism
K01501	E3.5.5.1	nitrilase [EC:3.5.5.1]	Nitrogen metabolism
K15371	GDH2	glutamate dehydrogenase [EC:1.4.1.2]	Nitrogen metabolism
